GEMEINDE_NAME,BFS_NR_GEMEINDE,Total,Schweiz,Ausland,Ausländer_Prozent,Jahr
Amriswil,4461,13047,9079,3968,30.4,2015
Arbon,4401,14184,9780,4404,31,2015
Dozwil,4406,681,586,95,14,2015
Egnach,4411,4562,3965,597,13.1,2015
Hefenhofen,4416,1230,1057,173,14.1,2015
Horn,4421,2592,2157,435,16.8,2015
Kesswil,4426,997,827,170,17.1,2015
Roggwil,4431,2947,2628,319,10.8,2015
Romanshorn,4436,10708,7428,3280,30.6,2015
Salmsach,4441,1402,1027,375,26.7,2015
Sommeri,4446,520,467,53,10.2,2015
Uttwil,4451,1830,1485,345,18.9,2015
Basadingen-Schlattingen,4536,1807,1547,260,14.4,2015
Berlingen,4801,863,668,195,22.6,2015
Diessenhofen,4545,3646,2407,1239,34,2015
Eschenz,4806,1719,1431,288,16.8,2015
Felben-Wellhausen,4561,2686,2162,524,19.5,2015
Frauenfeld,4566,24733,18942,5791,23.4,2015
Gachnang,4571,3978,3397,581,14.6,2015
Herdern,4811,1011,926,85,8.4,2015
Homburg,4816,1510,1405,105,7,2015
Hüttlingen,4590,829,755,74,8.9,2015
Hüttwilen,4821,1665,1516,149,8.9,2015
Mammern,4826,625,460,165,26.4,2015
Matzingen,4941,2618,1979,639,24.4,2015
Müllheim,4831,2879,2419,460,16,2015
Neunforn,4601,957,899,58,6.1,2015
Pfyn,4841,1932,1675,257,13.3,2015
Schlatt,4546,1647,1450,197,12,2015
Steckborn,4864,3716,2767,949,25.5,2015
Stettfurt,4606,1164,1062,102,8.8,2015
Thundorf,4776,1427,1321,106,7.4,2015
Uesslingen-Buch,4616,1086,1003,83,7.6,2015
Wagenhausen,4871,1672,1339,333,19.9,2015
Warth-Weiningen,4951,1238,1124,114,9.2,2015
Altnau,4641,2148,1738,410,19.1,2015
Bottighofen,4643,2166,1512,654,30.2,2015
Ermatingen,4646,3199,2270,929,29,2015
Gottlieben,4651,320,191,129,40.3,2015
Güttingen,4656,1574,1272,302,19.2,2015
Kemmental,4666,2385,1953,432,18.1,2015
Kreuzlingen,4671,21499,9885,11614,54,2015
Langrickenbach,4681,1274,1070,204,16,2015
Lengwil,4683,1653,1246,407,24.6,2015
Münsterlingen,4691,3187,1985,1202,37.7,2015
Raperswilen,4846,396,358,38,9.6,2015
Salenstein,4851,1281,950,331,25.8,2015
Tägerwilen,4611,4377,2813,1564,35.7,2015
Wäldi,4621,1037,857,180,17.4,2015
Aadorf,4551,8793,7389,1404,16,2015
Bettwiesen,4716,1153,908,245,21.2,2015
Bichelsee-Balterswil,4721,2790,2470,320,11.5,2015
Braunau,4723,753,681,72,9.6,2015
Eschlikon,4724,4267,3677,590,13.8,2015
Fischingen,4726,2638,2419,219,8.3,2015
Lommis,4741,1225,1063,162,13.2,2015
Münchwilen,4746,5252,4148,1104,21,2015
Rickenbach,4751,2766,1809,957,34.6,2015
Sirnach,4761,7642,5871,1771,23.2,2015
Tobel-Tägerschen,4696,1551,1313,238,15.3,2015
Wängi,4946,4576,3890,686,15,2015
Wilen,4701,2456,2172,284,11.6,2015
Affeltrangen,4711,2481,2101,380,15.3,2015
Amlikon-Bissegg,4881,1320,1188,132,10,2015
Berg,4891,3299,2813,486,14.7,2015
Birwinken,4901,1354,1215,139,10.3,2015
Bischofszell,4471,5861,4329,1532,26.1,2015
