Gemeinde,BFS_NR_GEMEINDE,BEZIRK_NR,BEZIRK_BEZ,BEZIRK_NR_ALT,Beschäftigte_2000,Anteil_Sektor1_2000,Anteil_Sektor2_2000,Anteil_Sektor3_2000,Beschäftigte_2005,Anteil_Sektor1_2005,Anteil_Sektor2_2005,Anteil_Sektor3_2005,Beschäftigte_2008,Anteil_Sektor1_2008,Anteil_Sektor2_2008,Anteil_Sektor3_2008,Beschäftigte_2011,Anteil_Sektor1_2011,Anteil_Sektor2_2011,Anteil_Sektor3_2011,Beschäftigte_2014,Anteil_Sektor1_2014,Anteil_Sektor2_2014,Anteil_Sektor3_2014
Aadorf,4551,2014,Münchwilen,2004,2817,7.60,47.57,44.83,2704,6.69,43.34,49.96,2'998,5.0,48.2,46.8,2'773,3.2,50.0,46.7,3142.7,3.20,52.79,44.01
Affeltrangen,4711,2015,Weinfelden,2006,920,22.28,39.13,38.59,963,16.93,42.06,41.02,1'141,16.0,45.8,38.2,941,12.5,53.5,34.0,974.4,12.64,55.14,32.21
Altnau,4641,2013,Kreuzlingen,2005,579,21.24,27.98,50.78,604,16.56,30.96,52.48,605,16.4,26.9,56.7,566,12.2,32.9,55.1,572.3,13.30,28.24,58.47
Amlikon-Bissegg,4881,2015,Weinfelden,2008,488,40.57,19.06,40.37,419,46.78,17.42,35.80,420,38.6,28.6,32.9,336,27.4,33.3,39.3,385.8,27.48,34.45,38.08
Amriswil,4461,2011,Arbon,2002,4725,5.57,40.63,53.80,4634,5.35,38.07,56.58,5'249,4.3,37.9,57.9,4'867,3.1,37.8,59.1,4619.1,3.24,38.32,58.44
Arbon,4401,2011,Arbon,2001,5795,1.19,50.82,47.99,5559,1.35,44.22,54.43,5'989,0.6,46.8,52.6,5'147,0.6,39.2,60.2,5009.1,0.47,38.47,61.06
Basadingen-Schlattingen,4536,2012,Frauenfeld,2003,646,27.40,37.15,35.45,635,29.29,39.21,31.50,634,34.4,34.5,31.1,631,35.7,38.8,25.5,543.2,33.32,44.77,21.91
Berg,4891,2015,Weinfelden,2008,1606,11.64,29.76,58.59,1581,11.07,29.92,59.01,1'689,10.5,27.2,62.3,1'083,11.9,29.1,59.0,1218.9,9.05,30.92,60.03
Berlingen ,4801,2012,Frauenfeld,2007,425,6.35,9.18,84.47,424,5.42,9.67,84.91,552,3.4,7.1,89.5,235,3.8,14.5,82.1,236.6,2.45,8.50,89.05
Bettwiesen,4716,2014,Münchwilen,2006,202,26.24,27.23,46.53,182,22.53,21.43,56.04,209,18.7,72.1,39.2,246,12.2,50.8,36.6,206.3,12.99,51.43,35.58
Bichelsee-Balterswil,4721,2014,Münchwilen,2006,829,12.18,54.16,33.66,791,12.52,53.86,33.63,776,11.9,49.4,38.8,908,7.3,60.6,32.2,852,6.80,57.61,35.60
Birwinken,4901,2015,Weinfelden,2008,359,53.20,16.43,30.36,321,53.27,16.51,30.22,306,53.6,18.3,28.1,231,46.3,21.6,32.5,261.4,47.09,23.37,29.53
Bischofszell,4471,2015,Weinfelden,2002,2797,4.40,56.06,39.54,3102,3.77,49.07,47.16,3'187,3.1,53.2,43.7,2'585,2.8,56.8,40.4,2384.4,2.71,58.46,38.83
Bottighofen,4643,2013,Kreuzlingen,2005,322,11.49,33.23,55.28,337,14.24,17.51,68.25,464,1.5,11.4,87.1,605,0.8,9.6,89.8,595.4,0.81,7.86,91.33
Braunau,4723,2014,Münchwilen,2006,183,56.83,14.75,28.42,171,56.14,19.30,24.56,163,54.0,18.4,27.6,147,40.1,22.4,37.4,175.2,34.13,18.89,46.97
Bürglen,4911,2015,Weinfelden,2008,1121,11.24,42.55,46.21,1263,10.45,38.24,51.31,1'125,11.0,35.0,54.0,1'029,8.1,40.4,51.5,1017.1,8.39,38.72,52.90
Bussnang,4921,2015,Weinfelden,2008,947,31.15,42.77,26.08,1293,17.94,61.10,20.96,1'755,13.3,68.5,18.2,1'994,8.0,81.2,10.8,2196,8.43,81.85,9.72
Diessenhofen ,4545,2012,Frauenfeld,2003,1626,5.17,48.28,46.56,1643,4.50,40.66,54.84,1'642,4.7,44.3,51.0,1'577,1.6,43.8,54.6,1394.9,1.94,46.81,51.25
Dozwil,4406,2011,Arbon,2001,215,12.56,56.74,30.70,169,13.02,49.70,37.28,163,11.7,54.0,34.4,182,9.9,51.6,39.0,177.8,9.28,52.76,37.96
Egnach,4411,2011,Arbon,2001,1759,27.57,35.53,36.90,1885,23.87,39.52,36.60,2'042,19.0,34.0,47.0,1'480,17.6,37.6,44.8,1490,17.06,33.99,48.95
Erlen,4476,2015,Weinfelden,2002,1280,17.42,54.14,28.44,1171,17.76,48.76,33.48,1'336,13.9,53.0,33.1,1'072,9.3,55.8,35.0,1065.4,9.26,53.41,37.33
Ermatingen,4646,2013,Kreuzlingen,2005,897,10.26,30.32,59.42,912,10.42,27.52,62.06,978,7.8,29.2,63.0,835,4.7,29.1,66.3,859.6,4.15,29.11,66.74
Eschenz,4806,2012,Frauenfeld,2007,466,25.11,34.98,39.91,484,19.63,32.85,47.52,527,18.4,34.9,46.7,415,14.2,40.0,45.5,432.9,14.28,38.14,47.59
Eschlikon,4724,2014,Münchwilen,2006,955,5.65,45.76,48.59,1064,4.32,49.25,46.43,1'335,3.6,51.8,44.6,1'304,2.1,50.5,47.4,1368,2.02,50.98,47.00
Felben-Wellhausen,4561,2012,Frauenfeld,2004,1208,4.47,78.23,17.30,1087,5.06,72.77,22.17,1'172,4.5,75.0,20.5,1'005,3.8,68.6,27.6,665.6,5.60,57.68,36.72
Fischingen,4726,2014,Münchwilen,2006,1023,26.49,28.25,45.26,1092,21.34,29.40,49.27,1'180,20.3,31.0,48.7,1'016,14.7,38.9,46.5,1051.7,13.41,39.28,47.31
Frauenfeld,4566,2012,Frauenfeld,2004,15198,1.66,27.23,71.10,16090,1.31,25.61,73.08,17'128,0.8,25.8,73.5,15'177,0.6,25.7,73.7,15296.6,0.54,25.60,73.86
Gachnang,4571,2012,Frauenfeld,2004,919,11.53,36.78,51.69,933,10.50,39.66,49.84,1'000,8.0,41.5,50.5,957,5.2,42.4,52.2,1059,5.51,40.97,53.51
Gottlieben,4651,2013,Kreuzlingen,2005,174,0.00,41.95,58.05,183,0.00,32.24,67.76,192,0.0,26.6,73.4,135,0.0,25.9,74.1,117.9,0.00,34.10,65.90
Güttingen,4656,2013,Kreuzlingen,2005,537,29.24,36.50,34.26,528,25.57,35.04,39.39,485,29.3,36.5,34.2,405,19.3,39.3,41.5,424.9,17.72,35.73,46.55
Hauptwil-Gottshaus,4486,2015,Weinfelden,2002,520,37.88,26.73,35.38,597,30.82,35.51,33.67,606,24.4,38.6,37.0,471,20.8,42.3,36.9,500.5,21.58,36.28,42.14
Hefenhofen,4416,2011,Arbon,2001,587,16.70,66.44,16.87,373,26.27,40.48,33.24,376,23.9,53.2,22.9,363,17.4,43.3,39.4,503,10.74,55.09,34.17
Herdern,4811,2012,Frauenfeld,2007,295,50.85,12.20,36.95,255,41.96,13.73,44.31,281,35.9,13.9,50.2,255,22.7,10.2,67.1,209.7,27.32,8.87,63.81
Hohentannen,4495,2015,Weinfelden,2002,241,55.19,19.09,25.73,204,55.39,22.06,22.55,190,56.3,24.2,19.5,162,40.7,40.7,19.1,189.4,37.59,43.51,18.90
Homburg,4816,2012,Frauenfeld,2007,660,41.82,35.00,23.18,674,36.80,41.25,21.96,732,32.9,39.9,27.2,561,29.9,45.3,24.8,555.8,28.75,50.65,20.60
