Gemeinde;BFS_Nr;Bezirk_Nr;Bezirk_Nr_alt;Bevölkerungsdichte_2005;Bevölkerungsdichte_2006;Bevölkerungsdichte_2007;Bevölkerungsdichte_2008;Bevölkerungsdichte_2009;Bevölkerungsdichte_2010;Bevölkerungsdichte_2011;Bevölkerungsdichte_2012;Bevölkerungsdichte_2013;Bevölkerungsdichte_2014;Bevölkerungsdichte_2015;Bevölkerungsdichte_2016;Bevölkerungsdichte_2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aadorf;4551;2014;2004;3.7;3.7;3.7;3.8;3.9;4.0;4.1;4.2;4.2;4.3;4.4;4.4;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Affeltrangen;4711;2015;2006;1.5;1.5;1.5;1.6;1.6;1.6;1.6;1.7;1.7;1.7;1.7;1.8;1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altnau;4641;2013;2005;2.9;2.9;2.8;2.8;2.9;3.0;3.0;3.1;3.2;3.2;3.2;3.2;3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amlikon-Bissegg;4881;2015;2008;0.8;0.8;0.8;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amriswil;4461;2011;2002;6.0;6.0;6.0;6.1;6.2;6.3;6.4;6.6;6.7;6.7;6.9;7;7.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arbon;4401;2011;2001;21.6;21.7;22.0;22.3;22.7;22.8;23.0;23.4;23.6;23.5;23.9;24;24.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basadingen-Schlattingen;4536;2012;2003;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.2;1.2;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berg;4891;2015;2008;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.4;2.5;2.5;2.5;2.5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berlingen ;4801;2012;2007;2.2;2.2;2.2;2.3;2.3;2.4;2.4;2.4;2.4;2.4;2.4;2.5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bettwiesen;4716;2014;2006;2.7;2.7;2.7;2.7;2.8;2.7;2.7;2.9;3;2.9;3;3;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
