BFS_NR_GEMEINDE,GEMEINDE_NAME,BEZIRK_NR,BEZIRK_NAME,JAHR,KONFESSION_CODE,KONFESSION_BEZEICHNUNG,ANZAHL_PERSONEN
4401,Arbon,2011,Bezirk Arbon,2017,111,Evangelisch-reformiert,3534, 
4401,Arbon,2011,Bezirk Arbon,2017,121,Römisch-katholisch,4793, 
4401,Arbon,2011,Bezirk Arbon,2017,0,Übrige,6103, 
4406,Dozwil,2011,Bezirk Arbon,2017,111,Evangelisch-reformiert,208, 
4406,Dozwil,2011,Bezirk Arbon,2017,121,Römisch-katholisch,153, 
4406,Dozwil,2011,Bezirk Arbon,2017,0,Übrige,343, 
4411,Egnach,2011,Bezirk Arbon,2017,111,Evangelisch-reformiert,1914, 
4411,Egnach,2011,Bezirk Arbon,2017,121,Römisch-katholisch,1495, 
4411,Egnach,2011,Bezirk Arbon,2017,0,Übrige,1283, 
4416,Hefenhofen,2011,Bezirk Arbon,2017,111,Evangelisch-reformiert,421, 
4416,Hefenhofen,2011,Bezirk Arbon,2017,121,Römisch-katholisch,384, 
4416,Hefenhofen,2011,Bezirk Arbon,2017,0,Übrige,382, 
4421,Horn,2011,Bezirk Arbon,2017,111,Evangelisch-reformiert,754, 
4421,Horn,2011,Bezirk Arbon,2017,121,Römisch-katholisch,1182, 
4421,Horn,2011,Bezirk Arbon,2017,0,Übrige,801, 
4426,Kesswil,2011,Bezirk Arbon,2017,111,Evangelisch-reformiert,440, 
4426,Kesswil,2011,Bezirk Arbon,2017,121,Römisch-katholisch,289, 
4426,Kesswil,2011,Bezirk Arbon,2017,0,Übrige,270, 
4431,Roggwil,2011,Bezirk Arbon,2017,111,Evangelisch-reformiert,1157, 
4431,Roggwil,2011,Bezirk Arbon,2017,121,Römisch-katholisch,1122, 
4431,Roggwil,2011,Bezirk Arbon,2017,0,Übrige,777, 
4436,Romanshorn,2011,Bezirk Arbon,2017,111,Evangelisch-reformiert,2836, 
4436,Romanshorn,2011,Bezirk Arbon,2017,121,Römisch-katholisch,3327, 
4436,Romanshorn,2011,Bezirk Arbon,2017,0,Übrige,4764, 
4441,Salmsach,2011,Bezirk Arbon,2017,111,Evangelisch-reformiert,414, 
4441,Salmsach,2011,Bezirk Arbon,2017,121,Römisch-katholisch,435, 
4441,Salmsach,2011,Bezirk Arbon,2017,0,Übrige,562, 
4446,Sommeri,2011,Bezirk Arbon,2017,111,Evangelisch-reformiert,175, 
4446,Sommeri,2011,Bezirk Arbon,2017,121,Römisch-katholisch,248, 
4446,Sommeri,2011,Bezirk Arbon,2017,0,Übrige,142, 
4451,Uttwil,2011,Bezirk Arbon,2017,111,Evangelisch-reformiert,709, 
4451,Uttwil,2011,Bezirk Arbon,2017,121,Römisch-katholisch,521, 
4451,Uttwil,2011,Bezirk Arbon,2017,0,Übrige,622, 
4461,Amriswil,2011,Bezirk Arbon,2017,111,Evangelisch-reformiert,3682, 
4461,Amriswil,2011,Bezirk Arbon,2017,121,Römisch-katholisch,4172, 
4461,Amriswil,2011,Bezirk Arbon,2017,0,Übrige,5528, 
