BFS_NR_GEMEINDE;GEMEINDE_NAME;Jahr;Netto_Sozialhilfe_je_Einwohner
4551;Aadorf;2006;100
4711;Affeltrangen;2006;137
4641;Altnau;2006;7
4881;Amlikon-Bissegg;2006;24
4461;Amriswil;2006;93
4401;Arbon;2006;170
4536;Basadingen-Schlattingen;2006;130
4891;Berg;2006;61
4801;Berlingen;2006;80
4716;Bettwiesen;2006;115
4721;Bichelsee-Balterswil;2006;22
4901;Birwinken;2006;124
4471;Bischofszell;2006;147
4643;Bottighofen;2006;100
4723;Braunau;2006;93
4921;Bussnang;2006;84
4911;Bürglen;2006;64
4545;Diessenhofen;2006;157
4406;Dozwil;2006;31
4411;Egnach;2006;71
4476;Erlen;2006;132
4646;Ermatingen;2006;88
4806;Eschenz;2006;104
4724;Eschlikon;2006;61
4561;Felben-Wellhausen;2006;75
4726;Fischingen;2006;169
4566;Frauenfeld;2006;161
4571;Gachnang;2006;86
4651;Gottlieben;2006;118
4656;Güttingen;2006;111
4486;Hauptwil-Gottshaus;2006;62
4416;Hefenhofen;2006;77
4811;Herdern;2006;42
4495;Hohentannen;2006;203
4816;Homburg;2006;187
4421;Horn;2006;48
4590;Hüttlingen;2006;-23
4821;Hüttwilen;2006;-75
4666;Kemmental;2006;37
4426;Kesswil;2006;2
4501;Kradolf-Schönenberg;2006;147
4671;Kreuzlingen;2006;167
4681;Langrickenbach;2006;56
4683;Lengwil;2006;105
4741;Lommis;2006;63
4826;Mammern;2006;35
4591;Matzingen;2006;98
4941;Märstetten;2006;49
4831;Müllheim;2006;94
4746;Münchwilen;2006;82
4691;Münsterlingen;2006;91
4601;Neunforn;2006;50
4841;Pfyn;2006;14
4846;Raperswilen;2006;275
4751;Rickenbach;2006;303
4431;Roggwil;2006;24
4436;Romanshorn;2006;77
4851;Salenstein;2006;143
4441;Salmsach;2006;210
4546;Schlatt;2006;107
4756;Schönholzerswilen;2006;64
4761;Sirnach;2006;61
4446;Sommeri;2006;92
4864;Steckborn;2006;99
4606;Stettfurt;2006;31
4506;Sulgen;2006;52
4611;Thundorf;2006;81
4776;Tobel-Tägerschen;2006;1
4696;Tägerwilen;2006;15
4616;Uesslingen-Buch;2006;10
4451;Uttwil;2006;91
4871;Wagenhausen;2006;65
4621;Warth-Weiningen;2006;57
4946;Weinfelden;2006;25
4951;Wigoltingen;2006;141
4786;Wilen;2006;41
4791;Wuppenau;2006;32
4701;Wäldi;2006;12
4781;Wängi;2006;89
4511;Zihlschlacht-Sitterdorf;2006;83
4551;Aadorf;2007;78
4711;Affeltrangen;2007;70
4641;Altnau;2007;7
4881;Amlikon-Bissegg;2007;132
4461;Amriswil;2007;90
4401;Arbon;2007;95
4536;Basadingen-Schlattingen;2007;67
4891;Berg;2007;38
4801;Berlingen;2007;185
4716;Bettwiesen;2007;120
4721;Bichelsee-Balterswil;2007;22
4901;Birwinken;2007;152
4471;Bischofszell;2007;168
4643;Bottighofen;2007;112
4723;Braunau;2007;-21
4921;Bussnang;2007;93
4911;Bürglen;2007;63
4545;Diessenhofen;2007;125
4406;Dozwil;2007;16
4411;Egnach;2007;48
4476;Erlen;2007;147
4646;Ermatingen;2007;102
4806;Eschenz;2007;71
4724;Eschlikon;2007;44
4561;Felben-Wellhausen;2007;8
4726;Fischingen;2007;298
4566;Frauenfeld;2007;143
4571;Gachnang;2007;73
4651;Gottlieben;2007;86
4656;Güttingen;2007;-7
4486;Hauptwil-Gottshaus;2007;67
4416;Hefenhofen;2007;78
4811;Herdern;2007;8
4495;Hohentannen;2007;40
4816;Homburg;2007;97
4421;Horn;2007;49
4590;Hüttlingen;2007;42
4821;Hüttwilen;2007;106
4666;Kemmental;2007;48
4426;Kesswil;2007;21
4501;Kradolf-Schönenberg;2007;116
4671;Kreuzlingen;2007;155
4681;Langrickenbach;2007;48
4683;Lengwil;2007;121
4741;Lommis;2007;71
4826;Mammern;2007;52
4591;Matzingen;2007;21
4941;Märstetten;2007;104
4831;Müllheim;2007;113
4746;Münchwilen;2007;103
4691;Münsterlingen;2007;43
4601;Neunforn;2007;57
