Gemeinde;BFS_NR_GEMEINDE;BEZIRK_NR;BEZIRK_BEZ;BEZIRK_NR_ALT;Wohnbevölkerung_2004;Ausländeranteil_Prozent_2004;Wohnbevölkerung_2005;Ausländeranteil_Prozent_2005;Wohnbevölkerung_2006;Ausländeranteil_Prozent_2006;Wohnbevölkerung_2007;Ausländeranteil_Prozent_2007;Wohnbevölkerung_2008;Ausländeranteil_Prozent_2008;Wohnbevölkerung_2009;Ausländeranteil_Prozent_2009;Wohnbevölkerung_2010;Ausländeranteil_Prozent_2010;Wohnbevölkerung_2011;Ausländeranteil_Prozent_2011;Wohnbevölkerung_2012;Ausländeranteil_Prozent_2012;Wohnbevölkerung_2013;Ausländeranteil_Prozent_2013;Wohnbevölkerung_2014;Ausländeranteil_Prozent_2014
Aadorf;4551;2014;Münchwilen;2004;7329;12.9;7379;13.2;7426;13.2;7591;13.6;7823;14.1;7980;14.1;8047;13.8;8243;14.4;8364;15.9;8413;15.6;12699;29.5
Affeltrangen;4711;2015;Weinfelden;2006;2187;12.6;2207;12.3;2202;11.4;2246;11.2;2277;11.4;2288;11.8;2325;12.0;2338;12.7;2383;13.3;2387;13.8;13986;30.4
Altnau;4641;2013;Kreuzlingen;2005;1932;15.4;1913;15.3;1892;15.1;1869;14.9;1945;15.3;1981;16.7;1980;17.8;2065;18.5;2061;18.6;2151;18.7;678;12.8
Amlikon-Bissegg;4881;2015;Weinfelden;2008;1166;4.5;1193;4.5;1211;5.0;1223;5.2;1251;7.0;1298;6.9;1259;6.5;1278;7.4;1285;7.9;1303;8.1;4516;12.9
Amriswil;4461;2011;Arbon;2002;11414;25;11477;24.8;11469;24.6;11517;25.1;11720;26.0;11894;26.4;12134;26.9;12315;27.4;12503;28.5;12636;29.1;1229;13.8
Arbon;4401;2011;Arbon;2001;12817;27.7;12794;27.3;12968;27.3;13118;27.4;13343;28.4;13430;28.3;13512;28.4;13647;28.9;13884;29.7;14028;30.4;2570;17.1
Basadingen-Schlattingen;4536;2012;Frauenfeld;2003;1653;11.5;1664;10.6;1674;12.2;1679;12.7;1657;10.7;1699;12.5;1694;11.3;1678;11.6;1712;11.3;1738;12.4;989;16.4
Berg;4891;2015;Weinfelden;2008;2985;9;2958;8.7;2977;9.3;3058;9.5;3022;9.5;3050;9.9;3067;10.8;3104;11.0;3186;11.5;3237;12.4;2896;10.4
Berlingen ;4801;2012;Frauenfeld;2007;777;17.9;784;17.2;785;17.6;812;20.2;830;20.7;839;21.5;847;21.6;833;21.8;858;23.7;861;23.9;10558;30.4
Bettwiesen;4716;2014;Münchwilen;2006;1055;22.2;1058;21.8;1055;21.5;1046;19.1;1061;19.0;1054;19.4;1051;19.5;1082;19.9;1109;20.2;1145;21.9;1382;26.6
Bichelsee-Balterswil;4721;2014;Münchwilen;2006;2451;7;2457;6.8;2465;6.7;2461;7.7;2531;8.6;2575;8.9;2618;9.2;2624;9.4;2675;10.2;2741;10.7;519;9.4
Birwinken;4901;2015;Weinfelden;2008;1292;6.3;1282;6.6;1279;6.6;1265;6.8;1303;7.2;1296;6.3;1298;6.7;1271;7.0;1333;8.4;1317;9.2;1804;18.2
Bischofszell;4471;2015;Weinfelden;2002;5514;21.9;5485;21.8;5461;21.6;5466;21.4;5477;22.1;5536;22.2;5462;22.1;5507;22.4;5546;23.2;5625;23.9;1774;12.9
Bottighofen;4643;2013;Kreuzlingen;2005;1917;21;1937;22.3;1941;23.4;2007;24.5;2068;26.5;2079;27.4;2096;27.9;2110;28.9;2110;29.0;2117;30.2;851;23.7
Braunau;4723;2014;Münchwilen;2006;680;4.1;671;3.7;663;4.1;673;5.8;673;6.2;677;6.1;685;7.4;706;7.2;711;8.4;725;8.0;3546;32.8
Bürglen;4911;2015;Weinfelden;2008;3165;25.9;3133;25.2;3105;25.5;3092;24.8;3164;24.8;3213;24.5;3259;24.4;3356;25.6;3422;25.3;3455;26.0;1682;16.6
Bussnang;4921;2015;Weinfelden;2008;1991;4.2;1979;4.5;1995;5.7;2034;6.5;2079;6.5;2079;7.6;2109;9.2;2151;10.5;2168;11.1;2184;11.4;2641;18.7
Diessenhofen ;4545;2012;Frauenfeld;2003;3167;30.4;3222;30.0;3180;29.8;3160;29.3;3231;30.1;3314;30.5;3395;30.4;3457;30.7;3513;31.7;3547;32.7;24409;23.2
Dozwil;4406;2011;Arbon;2001;526;11.4;529;12.5;534;13.1;552;12.3;573;13.3;608;12.5;640;11.1;650;11.7;660;10.9;664;11.7;3729;13.5
Egnach;4411;2011;Arbon;2001;4238;11.9;4248;11.1;4255;10.6;4272;10.7;4245;11.2;4277;11.3;4303;11.5;4312;12.0;4313;12.2;4445;12.2;978;8
Erlen;4476;2015;Weinfelden;2002;3053;17.2;3039;17.8;3064;17.1;3078;18.3;3093;19.1;3135;19.1;3176;20.0;3186;21.4;3233;21.5;3263;22.3;1512;7.3
Ermatingen;4646;2013;Kreuzlingen;2005;2570;20.5;2606;21.2;2649;21.1;2705;22.2;2835;24.2;2877;25.3;2874;25.6;2909;26.4;3021;27.4;3077;27.9;831;8.5
Eschenz;4806;2012;Frauenfeld;2007;1532;13.7;1574;14.7;1603;14.8;1619;13.5;1632;14.3;1655;16.0;1665;16.0;1640;15.8;1637;16.1;1675;16.2;1631;8.9
Eschlikon;4724;2014;Münchwilen;2006;3456;11;3537;10.3;3605;10.4;3690;11.1;3759;11.7;3808;11.6;3844;11.3;3920;11.9;4059;11.9;4156;12.9;608;26
Felben-Wellhausen;4561;2012;Frauenfeld;2004;2261;15.5;2307;14.6;2310;14.9;2286;14.1;2330;15.9;2394;16.6;2477;17.0;2503;17.5;2536;17.2;2601;18.6;2569;23.4
Fischingen;4726;2014;Münchwilen;2006;2586;7;2596;7.4;2567;7.0;2569;6.8;2600;7.6;2562;8.0;2581;7.7;2554;7.2;2577;7.8;2540;7.3;2870;15.7
Frauenfeld;4566;2012;Frauenfeld;2004;21965;22.3;21933;21.8;22063;21.0;22313;21.3;22583;22.1;22878;22.1;23128;22.3;23527;22.2;23948;22.6;24221;23.1;921;5.3
Gachnang;4571;2012;Frauenfeld;2004;3233;9.8;3271;10.2;3274;9.7;3298;10.1;3362;10.6;3423;10.5;3423;10.9;3415;11.5;3492;12.1;3597;12.8;1946;13.7
