DATUM_ABSTIMMUNG,VORLAGE_BEZEICHNUNG,VORLAGEART_CODE,VORLAGEART_BEZEICHNUNG,BEZIRK_NR,BEZIRK_NAME,BFS_NR_GEMEINDE,GEMEINDE_NAME,STIMMBERECHTIGTE,EINGELEGTE_STIMMZETTEL,LEERE_STIMMEN,UNGUELTIGE_STIMMEN,GUELTIGE_STIMMEN,JA_STIMMEN,NEIN_STIMMEN,STIMMBETEILIGUNG
21.05.2000,6,3,Obligatorisches Referendum,2004,Frauenfeld,4551,Aadorf,4846,2079,,,2002,1270,732,42.9
21.05.2000,6,3,Obligatorisches Referendum,2006,M�nchwilen,4711,Affeltrangen,1408,700,,,677,299,378,49.7
21.05.2000,6,3,Obligatorisches Referendum,2005,Kreuzlingen,4641,Altnau,1134,566,,,562,329,233,49.9
21.05.2000,6,3,Obligatorisches Referendum,2008,Weinfelden,4881,Amlikon-Bissegg,802,463,,,461,198,263,57.7
21.05.2000,6,3,Obligatorisches Referendum,2002,Bischofszell,4461,Amriswil,6533,2489,,,2440,1436,1004,38.1
21.05.2000,6,3,Obligatorisches Referendum,2001,Arbon,4401,Arbon,7560,2795,,,2647,1689,958,37
21.05.2000,6,3,Obligatorisches Referendum,2003,Diessenhofen,4536,Basadingen-Schlattingen,1049,487,,,485,207,278,46.4
21.05.2000,6,3,Obligatorisches Referendum,2008,Weinfelden,4891,Berg,1828,872,,,869,445,424,47.7
21.05.2000,6,3,Obligatorisches Referendum,2007,Steckborn,4801,Berlingen,549,285,,,281,182,99,51.9
21.05.2000,6,3,Obligatorisches Referendum,2006,M�nchwilen,4716,Bettwiesen,561,276,,,273,137,136,49.2
21.05.2000,6,3,Obligatorisches Referendum,2006,M�nchwilen,4721,Bichelsee-Balterswil,1604,752,,,744,445,299,46.9
21.05.2000,6,3,Obligatorisches Referendum,2008,Weinfelden,4901,Birwinken,839,459,,,439,198,241,54.7
21.05.2000,6,3,Obligatorisches Referendum,2002,Bischofszell,4471,Bischofszell,3337,1776,,,1717,1047,670,53.2
21.05.2000,6,3,Obligatorisches Referendum,2005,Kreuzlingen,4643,Bottighofen,1110,593,,,584,410,174,53.4
21.05.2000,6,3,Obligatorisches Referendum,2006,M�nchwilen,4723,Braunau,472,282,,,277,111,166,59.7
21.05.2000,6,3,Obligatorisches Referendum,2008,Weinfelden,4911,B�rglen (TG),1828,846,,,824,380,444,46.3
21.05.2000,6,3,Obligatorisches Referendum,2008,Weinfelden,4921,Bussnang,1430,810,,,806,336,470,56.6
21.05.2000,6,3,Obligatorisches Referendum,2003,Diessenhofen,4545,Diessenhofen,1874,880,,,880,497,383,47
21.05.2000,6,3,Obligatorisches Referendum,2001,Arbon,4406,Dozwil,338,240,,,234,74,160,71
21.05.2000,6,3,Obligatorisches Referendum,2001,Arbon,4411,Egnach,2636,1257,,,1239,696,543,47.7
21.05.2000,6,3,Obligatorisches Referendum,2002,Bischofszell,4476,Erlen,1868,763,,,744,390,354,40.8
21.05.2000,6,3,Obligatorisches Referendum,2005,Kreuzlingen,4646,Ermatingen,1663,769,,,763,429,334,46.2
21.05.2000,6,3,Obligatorisches Referendum,2007,Steckborn,4806,Eschenz,997,495,,,494,249,245,49.6
21.05.2000,6,3,Obligatorisches Referendum,2006,M�nchwilen,4724,Eschlikon,2132,865,,,860,501,359,40.6
21.05.2000,6,3,Obligatorisches Referendum,2004,Frauenfeld,4561,Felben-Wellhausen,1345,541,,,537,339,198,40.2
21.05.2000,6,3,Obligatorisches Referendum,2006,M�nchwilen,4726,Fischingen,1788,919,,,915,429,486,51.4
21.05.2000,6,3,Obligatorisches Referendum,2004,Frauenfeld,4566,Frauenfeld,13358,6277,,,6216,4188,2028,47
21.05.2000,6,3,Obligatorisches Referendum,2004,Frauenfeld,4571,Gachnang,1994,939,,,931,601,330,47.1
21.05.2000,6,3,Obligatorisches Referendum,2005,Kreuzlingen,4651,Gottlieben,175,98,,,92,48,44,56
