DATUM_ABSTIMMUNG,VORLAGE_BEZEICHNUNG,VORLAGEART_CODE,VORLAGEART_BEZEICHNUNG,BEZIRK_NR,BEZIRK_NAME,BFS_NR_GEMEINDE,GEMEINDE_NAME,STIMMBERECHTIGTE,EINGELEGTE_STIMMZETTEL,LEERE_STIMMEN,UNGUELTIGE_STIMMEN,GUELTIGE_STIMMEN,JA_STIMMEN,NEIN_STIMMEN,STIMMBETEILIGUNG
05.06.2005,61,4,Fakultatives Referendum,2004,Frauenfeld,4551,Aadorf,5052,2690,21,57,2612,1270,1342,53.25
05.06.2005,61,4,Fakultatives Referendum,2006,M�nchwilen,4711,Affeltrangen,1468,867,1,15,851,274,577,59.06
05.06.2005,61,4,Fakultatives Referendum,2005,Kreuzlingen,4641,Altnau,1222,675,6,13,656,322,334,55.24
05.06.2005,61,4,Fakultatives Referendum,2008,Weinfelden,4881,Amlikon-Bissegg,844,546,3,1,542,152,390,64.69
05.06.2005,61,4,Fakultatives Referendum,2002,Bischofszell,4461,Amriswil,6881,3529,48,101,3380,1471,1909,51.29
05.06.2005,61,4,Fakultatives Referendum,2001,Arbon,4401,Arbon,7697,3632,32,143,3457,1745,1712,47.19
05.06.2005,61,4,Fakultatives Referendum,2003,Diessenhofen,4536,Basadingen-Schlattingen,1094,750,3,13,734,257,477,68.56
05.06.2005,61,4,Fakultatives Referendum,2008,Weinfelden,4891,Berg,1930,1147,9,13,1125,460,665,59.43
05.06.2005,61,4,Fakultatives Referendum,2007,Steckborn,4801,Berlingen,552,359,5,1,353,150,203,65.04
05.06.2005,61,4,Fakultatives Referendum,2006,M�nchwilen,4716,Bettwiesen,631,374,2,0,372,135,237,59.27
05.06.2005,61,4,Fakultatives Referendum,2006,M�nchwilen,4721,Bichelsee-Balterswil,1740,976,3,9,964,423,541,56.09
05.06.2005,61,4,Fakultatives Referendum,2008,Weinfelden,4901,Birwinken,892,545,1,14,530,165,365,61.1
05.06.2005,61,4,Fakultatives Referendum,2002,Bischofszell,4471,Bischofszell,3423,1826,11,41,1774,797,977,53.35
05.06.2005,61,4,Fakultatives Referendum,2005,Kreuzlingen,4643,Bottighofen,1265,789,7,17,765,417,348,62.37
05.06.2005,61,4,Fakultatives Referendum,2006,M�nchwilen,4723,Braunau,475,316,6,1,309,87,222,66.53
05.06.2005,61,4,Fakultatives Referendum,2008,Weinfelden,4911,B�rglen,1938,1078,10,12,1056,355,701,55.62
05.06.2005,61,4,Fakultatives Referendum,2008,Weinfelden,4921,Bussnang,1448,923,9,0,914,345,569,63.74
05.06.2005,61,4,Fakultatives Referendum,2003,Diessenhofen,4545,Diessenhofen,1895,1182,5,0,1177,512,665,62.37
05.06.2005,61,4,Fakultatives Referendum,2001,Arbon,4406,Dozwil,347,262,0,0,262,72,190,75.5
05.06.2005,61,4,Fakultatives Referendum,2001,Arbon,4411,Egnach,2835,1574,8,25,1541,689,852,55.52
05.06.2005,61,4,Fakultatives Referendum,2002,Bischofszell,4476,Erlen,1887,1059,12,19,1028,399,629,56.12
05.06.2005,61,4,Fakultatives Referendum,2005,Kreuzlingen,4646,Ermatingen,1730,960,6,2,952,424,528,55.49
05.06.2005,61,4,Fakultatives Referendum,2007,Steckborn,4806,Eschenz,1043,622,3,0,619,248,371,59.64
05.06.2005,61,4,Fakultatives Referendum,2006,M�nchwilen,4724,Eschlikon,2426,1326,14,24,1288,612,676,54.66
05.06.2005,61,4,Fakultatives Referendum,2004,Frauenfeld,4561,Felben-Wellhausen,1471,767,5,7,755,322,433,52.14
05.06.2005,61,4,Fakultatives Referendum,2006,M�nchwilen,4726,Fischingen,1861,1125,4,33,1088,412,676,60.45
05.06.2005,61,4,Fakultatives Referendum,2004,Frauenfeld,4566,Frauenfeld,14250,8319,98,162,8059,4323,3736,58.38
05.06.2005,61,4,Fakultatives Referendum,2004,Frauenfeld,4571,Gachnang,2234,1248,9,2,1237,623,614,55.86
05.06.2005,61,4,Fakultatives Referendum,2005,Kreuzlingen,4651,Gottlieben,175,107,1,0,106,45,61,61.14
05.06.2005,61,4,Fakultatives Referendum,2005,Kreuzlingen,4656,G�ttingen,892,495,1,11,483,203,280,55.49
05.06.2005,61,4,Fakultatives Referendum,2002,Bischofszell,4486,Hauptwil-Gottshaus,1279,703,4,6,693,254,439,54.96
05.06.2005,61,4,Fakultatives Referendum,2001,Arbon,4416,Hefenhofen,782,412,2,29,381,142,239,52.69
05.06.2005,61,4,Fakultatives Referendum,2007,Steckborn,4811,Herdern,655,376,1,9,366,171,195,57.4
05.06.2005,61,4,Fakultatives Referendum,2002,Bischofszell,4495,Hohentannen,403,233,2,5,226,60,166,57.82
05.06.2005,61,4,Fakultatives Referendum,2007,Steckborn,4816,Homburg,1029,623,11,11,601,166,435,60.54
05.06.2005,61,4,Fakultatives Referendum,2001,Arbon,4421,Horn,1551,822,3,29,790,409,381,53
05.06.2005,61,4,Fakultatives Referendum,2004,Frauenfeld,4590,H�ttlingen,607,414,2,1,411,152,259,68.2
05.06.2005,61,4,Fakultatives Referendum,2007,Steckborn,4821,H�ttwilen,1003,664,9,19,636,284,352,66.2
05.06.2005,61,4,Fakultatives Referendum,2005,Kreuzlingen,4666,Kemmental,1498,839,5,0,834,280,554,56.01
05.06.2005,61,4,Fakultatives Referendum,2001,Arbon,4426,Kesswil,623,387,1,6,380,199,181,62.12
05.06.2005,61,4,Fakultatives Referendum,2002,Bischofszell,4501,Kradolf-Sch�nenberg,1973,1007,10,10,987,386,601,51.04
05.06.2005,61,4,Fakultatives Referendum,2005,Kreuzlingen,4671,Kreuzlingen,8392,4270,26,119,4125,2235,1890,50.88
05.06.2005,61,4,Fakultatives Referendum,2005,Kreuzlingen,4681,Langrickenbach,735,422,6,1,415,123,292,57.41
05.06.2005,61,4,Fakultatives Referendum,2005,Kreuzlingen,4683,Lengwil,818,487,4,0,483,179,304,59.54
05.06.2005,61,4,Fakultatives Referendum,2006,M�nchwilen,4741,Lommis,688,374,0,1,373,128,245,54.36
05.06.2005,61,4,Fakultatives Referendum,2007,Steckborn,4826,Mammern,323,205,1,2,202,89,113,63.47
05.06.2005,61,4,Fakultatives Referendum,2008,Weinfelden,4941,M�rstetten,1560,929,5,16,908,372,536,59.55
05.06.2005,61,4,Fakultatives Referendum,2004,Frauenfeld,4591,Matzingen,1477,732,2,11,719,325,394,49.56
05.06.2005,61,4,Fakultatives Referendum,2007,Steckborn,4831,M�llheim,1578,961,8,43,910,398,512,60.9
05.06.2005,61,4,Fakultatives Referendum,2006,M�nchwilen,4746,M�nchwilen,2884,1459,7,56,1396,617,779,50.59
05.06.2005,61,4,Fakultatives Referendum,2005,Kreuzlingen,4691,M�nsterlingen,1402,807,6,10,791,386,405,57.56
05.06.2005,61,4,Fakultatives Referendum,2004,Frauenfeld,4601,Neunforn,709,441,10,0,431,201,230,62.2
05.06.2005,61,4,Fakultatives Referendum,2007,Steckborn,4841,Pfyn,1292,752,8,0,744,252,492,58.2
05.06.2005,61,4,Fakultatives Referendum,2007,Steckborn,4846,Raperswilen,283,178,1,0,177,40,137,62.9
05.06.2005,61,4,Fakultatives Referendum,2001,Arbon,4431,Roggwil,1839,1080,10,9,1061,448,613,58.73
05.06.2005,61,4,Fakultatives Referendum,2001,Arbon,4436,Romanshorn,5605,2904,29,43,2832,1396,1436,51.81
05.06.2005,61,4,Fakultatives Referendum,2007,Steckborn,4851,Salenstein,791,479,0,3,476,194,282,60.56
05.06.2005,61,4,Fakultatives Referendum,2001,Arbon,4441,Salmsach,804,352,3,4,345,127,218,43.78
05.06.2005,61,4,Fakultatives Referendum,2003,Diessenhofen,4546,Schlatt,1071,650,4,0,646,237,409,60.69
05.06.2005,61,4,Fakultatives Referendum,2006,M�nchwilen,4756,Sch�nholzerswilen,540,332,4,3,325,110,215,61.48
05.06.2005,61,4,Fakultatives Referendum,2006,M�nchwilen,4761,Sirnach,4047,2092,14,0,2078,888,1190,51.69
05.06.2005,61,4,Fakultatives Referendum,2001,Arbon,4446,Sommeri,357,212,3,8,201,72,129,59.38
