Gemeinde,BFS_NR_GEMEINDE,0-19,20-39,40-64,65-79,80+,Statistikjahr
Aadorf ,4551,25.3,26.6,35.6,9.5,3,2004
Affeltrangen,4711,27.8,25.8,34.6,8.7,3.2,2004
Altnau,4641,27.5,25.9,36.5,7.8,2.3,2004
Amlikon-Bissegg,4881,28.8,22.9,33.6,11.5,3.2,2004
Amriswil,4461,25.5,26.8,32.2,10.9,4.5,2004
Arbon,4401,22.2,26.6,33.2,12.6,5.4,2004
Basadingen-Schlattingen,4536,28.9,23.5,35.3,9.3,3,2004
Berg,4891,29.4,24.4,33.8,8.7,3.6,2004
Berlingen ,4801,18,20.5,42.2,13.6,5.7,2004
Bettwiesen,4716,29,26.5,33.6,8.5,2.3,2004
Bichelsee-Balterswil,4721,26.8,25.3,36.3,8.9,2.7,2004
Birwinken,4901,30.8,23.7,32.7,10.1,2.7,2004
Bischofszell,4471,25.4,27.2,31.5,10.3,5.5,2004
Bottighofen,4643,18.2,26.3,40.3,12.4,2.9,2004
Braunau,4723,29.4,29.4,31.6,7.4,2.2,2004
Bürglen,4911,25.8,28.4,33.1,8.9,3.8,2004
Bussnang ,4921,28.9,25,32.8,9.8,3.5,2004
Diessenhofen,4545,22.6,28.6,35.4,10.4,3,2004
Dozwil,4406,28.3,22.1,34,11.6,4,2004
Egnach,4411,28,24.9,34.4,9,3.8,2004
Erlen,4476,29.1,24.6,34.6,8.3,3.3,2004
Ermatingen,4646,21.1,25.4,35.5,12.9,5.1,2004
Eschenz,4806,24.7,23.9,35.6,11.6,4.1,2004
Eschlikon,4724,25.9,26.6,34.5,9.5,3.5,2004
Felben-Wellhausen,4561,27.1,27.8,35.3,7.6,2.2,2004
Fischingen,4726,28,24.9,33.5,9.5,4.1,2004
Frauenfeld,4566,21.8,28.5,34.6,10.5,4.6,2004
Gachnang,4571,27.3,27.2,36.8,6.8,1.9,2004
Gottlieben,4651,15.4,27.6,40.9,11.9,4.2,2004
Güttingen,4656,25.4,24.6,36.7,10.5,2.8,2004
Hauptwil-Gottshaus,4486,26.9,25.6,33.2,8.6,5.8,2004
Hefenhofen,4416,30.3,24.7,32.4,10,2.5,2004
Herdern ,4811,28.3,26,34.2,8.5,3,2004
Hohentannen,4495,34,23.3,28.3,10,4.3,2004
Homburg,4816,30,22.6,35.2,9.5,2.7,2004
Horn,4421,21.7,27,33.8,12.2,5.2,2004
Hüttlingen,4590,27.3,26.4,37,7.1,2.1,2004
Hüttwilen,4821,25.8,23.4,37,9.4,4.4,2004
Kemmental,4666,29.1,23.6,34.6,9.2,3.6,2004
Kesswil,4426,25,23.8,35.4,12.8,3.1,2004
Kradolf-Schönenberg,4501,27.3,25.9,34.8,8.6,3.5,2004
Kreuzlingen,4671,20.3,29.5,34.2,11.9,4.2,2004
Langrickenbach,4681,30.1,23.5,32.7,9.7,4,2004
Lengwil,4683,25.8,24.8,38.1,9,2.4,2004
Lommis,4741,31.8,23.3,35.9,7.3,1.7,2004
Mammern,4826,25.4,26,34.8,10.5,3.3,2004
Märstetten,4941,29,26.8,33,8.7,2.5,2004
Matzingen,4591,28.7,26,34,8.7,2.6,2004
Müllheim,4831,29.2,24.7,34.8,8.2,3.1,2004
Münchwilen,4746,27.2,28.8,32,8.4,3.6,2004
Münsterlingen,4691,24.5,27.1,35.4,9.7,3.2,2004
Neunforn,4601,25,21.9,39.9,10.6,2.7,2004
Pfyn,4841,26.3,25.9,36.2,9,2.7,2004
Raperswilen,4846,30.1,20.8,35.5,11.2,2.4,2004
Rickenbach,4751,23.3,32.3,32.3,9.6,2.6,2004
Roggwil,4431,27.4,26.1,34.8,9.3,2.4,2004
Romanshorn,4436,23.4,24.8,33.4,12.6,5.9,2004
Salenstein,4851,19.5,22.6,41,12.1,4.8,2004
Salmsach,4441,24.6,26.7,37.4,8.4,3,2004
Schlatt,4546,27.4,25.8,34.3,9.1,3.4,2004
Schönholzerswilen,4756,30.8,26.5,26.7,11.9,4.1,2004
Sirnach,4761,25.3,27.7,34.3,9.3,3.4,2004
Sommeri ,4446,25.9,23.7,35.6,11.9,2.9,2004
Steckborn,4864,23.2,21.5,36.7,12.8,5.8,2004
Stettfurt,4606,28.7,24.7,37.1,6.5,3.1,2004
Sulgen,4506,27.6,26,32.6,9.6,4.1,2004
Tägerwilen,4696,25.7,25.7,34.7,10,3.9,2004
Thundorf,4611,26.9,24.9,35.8,8.9,3.5,2004
Tobel-Tägerschen,4776,27.6,27.9,33.9,8.3,2.3,2004
Uesslingen-Buch,4616,28.7,23.3,34.9,10.4,2.7,2004
Uttwil,4451,25.3,24.8,36,9.8,4.1,2004
Wagenhausen,4871,23.9,24.6,36.2,11,4.2,2004
