BFS_NR_GEMEINDE,GEMEINDE_NAME,Jahr,Gemeindesteuerfuss,
4551,Aadorf,2004,64, 
4711,Affeltrangen,2004,62, 
4641,Altnau,2004,70, 
4881,Amlikon-Bissegg,2004,85, 
4461,Amriswil,2004,76, 
4401,Arbon,2004,80, 
4536,Basadingen-Schlattingen,2004,71, 
4891,Berg,2004,48, 
4801,Berlingen,2004,80, 
4716,Bettwiesen,2004,47, 
4721,Bichelsee-Balterswil,2004,49, 
4901,Birwinken,2004,90, 
4471,Bischofszell,2004,75, 
4643,Bottighofen,2004,35, 
4723,Braunau,2004,75, 
4921,Bussnang,2004,90, 
4911,B�rglen,2004,63, 
4545,Diessenhofen,2004,55, 
4406,Dozwil,2004,84, 
4411,Egnach,2004,65, 
4476,Erlen,2004,70, 
4646,Ermatingen,2004,50, 
4806,Eschenz,2004,85, 
4724,Eschlikon,2004,60, 
4561,Felben-Wellhausen,2004,60, 
4726,Fischingen,2004,90, 
4566,Frauenfeld,2004,68, 
4571,Gachnang,2004,50, 
4651,Gottlieben,2004,45, 
4656,G�ttingen,2004,65, 
4486,Hauptwil-Gottshaus,2004,85, 
4416,Hefenhofen,2004,83, 
4811,Herdern,2004,77, 
4495,Hohentannen,2004,90, 
4816,Homburg,2004,85, 
4421,Horn,2004,38, 
4590,H�ttlingen,2004,60, 
4821,H�ttwilen,2004,67, 
4666,Kemmental,2004,83, 
4426,Kesswil,2004,60, 
4501,Kradolf-Sch�nenberg,2004,68, 
4671,Kreuzlingen,2004,70, 
4681,Langrickenbach,2004,88, 
4683,Lengwil,2004,75, 
4741,Lommis,2004,79, 
4826,Mammern,2004,48, 
4591,Matzingen,2004,75, 
4941,M�rstetten,2004,58, 
4831,M�llheim,2004,75, 
4746,M�nchwilen,2004,57, 
4691,M�nsterlingen,2004,51, 
4601,Neunforn,2004,65, 
4841,Pfyn,2004,78, 
4846,Raperswilen,2004,90, 
4751,Rickenbach,2004,50, 
4431,Roggwil,2004,60, 
4436,Romanshorn,2004,80, 
4851,Salenstein,2004,49, 
4441,Salmsach,2004,80, 
4546,Schlatt,2004,60, 
4756,Sch�nholzerswilen,2004,80, 
4761,Sirnach,2004,56, 
4446,Sommeri,2004,79, 
4864,Steckborn,2004,76, 
4606,Stettfurt,2004,60, 
4506,Sulgen,2004,60, 
4611,Thundorf,2004,75, 
4776,Tobel-T�gerschen,2004,60, 
4696,T�gerwilen,2004,47, 
4616,Uesslingen-Buch,2004,70, 
4451,Uttwil,2004,63, 
4871,Wagenhausen,2004,60, 
4621,Warth-Weiningen,2004,52, 
4946,Weinfelden,2004,75, 
4951,Wigoltingen,2004,75, 
4786,Wilen,2004,58, 
4791,Wuppenau,2004,85, 
4701,W�ldi,2004,75, 
4781,W�ngi,2004,55, 
4511,Zihlschlacht-Sitterdorf,2004,77, 
4551,Aadorf,2005,60, 
4711,Affeltrangen,2005,59, 
4641,Altnau,2005,70, 
4881,Amlikon-Bissegg,2005,85, 
4461,Amriswil,2005,76, 
4401,Arbon,2005,80, 
4536,Basadingen-Schlattingen,2005,69, 
4891,Berg,2005,48, 
4801,Berlingen,2005,75, 
4716,Bettwiesen,2005,53, 
4721,Bichelsee-Balterswil,2005,47, 
4901,Birwinken,2005,90, 
4471,Bischofszell,2005,75, 
4643,Bottighofen,2005,39, 
4723,Braunau,2005,75, 
4921,Bussnang,2005,85, 
4911,B�rglen,2005,63, 
4545,Diessenhofen,2005,55, 
4406,Dozwil,2005,82, 
4411,Egnach,2005,65, 
4476,Erlen,2005,70, 
4646,Ermatingen,2005,50, 
4806,Eschenz,2005,75, 
4724,Eschlikon,2005,60, 
4561,Felben-Wellhausen,2005,60, 
4726,Fischingen,2005,87, 
4566,Frauenfeld,2005,68, 
4571,Gachnang,2005,50, 
4651,Gottlieben,2005,40, 
4656,G�ttingen,2005,65, 
4486,Hauptwil-Gottshaus,2005,85, 
4416,Hefenhofen,2005,79, 
4811,Herdern,2005,77, 
4495,Hohentannen,2005,90, 
4816,Homburg,2005,85, 
4421,Horn,2005,38, 
4590,H�ttlingen,2005,60, 
4821,H�ttwilen,2005,67, 
4666,Kemmental,2005,83, 
4426,Kesswil,2005,60, 
4501,Kradolf-Sch�nenberg,2005,68, 
4671,Kreuzlingen,2005,70, 
4681,Langrickenbach,2005,85, 
4683,Lengwil,2005,75, 
4741,Lommis,2005,76, 
4826,Mammern,2005,43, 
4591,Matzingen,2005,73, 
4941,M�rstetten,2005,58, 
4831,M�llheim,2005,75, 
4746,M�nchwilen,2005,57, 
4691,M�nsterlingen,2005,51, 
4601,Neunforn,2005,65, 
4841,Pfyn,2005,75, 
4846,Raperswilen,2005,80, 
