DATUM_ABSTIMMUNG,VORLAGE_BEZEICHNUNG,VORLAGEART_CODE,VORLAGEART_BEZEICHNUNG,BEZIRK_NR,BEZIRK_NAME,BFS_NR_GEMEINDE,GEMEINDE_NAME,STIMMBERECHTIGTE,EINGELEGTE_STIMMZETTEL,LEERE_STIMMEN,UNGUELTIGE_STIMMEN,GUELTIGE_STIMMEN,JA_STIMMEN,NEIN_STIMMEN,STIMMBETEILIGUNG
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2004,Frauenfeld,4551,Aadorf,4874,2032,,,1983,618,1346,41.7
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2006,M�nchwilen,4711,Affeltrangen,1406,611,,,583,98,481,43.5
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2005,Kreuzlingen,4641,Altnau,1144,486,,,480,155,302,42.5
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2008,Weinfelden,4881,Amlikon-Bissegg,817,388,,,362,62,296,47.5
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2002,Bischofszell,4461,Amriswil,6575,2283,,,2201,609,1569,34.7
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2001,Arbon,4401,Arbon,7626,2652,,,2449,705,1716,34.8
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2003,Diessenhofen,4536,Basadingen-Schlattingen,1048,429,,,414,94,316,40.9
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2008,Weinfelden,4891,Berg,1838,812,,,800,174,617,44.2
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2007,Steckborn,4801,Berlingen,545,279,,,279,101,170,51.2
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2006,M�nchwilen,4716,Bettwiesen,568,280,,,269,44,221,49.3
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2006,M�nchwilen,4721,Bichelsee-Balterswil,1589,770,,,745,184,549,48.5
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2008,Weinfelden,4901,Birwinken,842,401,,,390,106,276,47.6
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2002,Bischofszell,4471,Bischofszell,3373,1332,,,1262,315,932,39.5
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2005,Kreuzlingen,4643,Bottighofen,1142,529,,,514,122,384,46.3
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2006,M�nchwilen,4723,Braunau,462,281,,,270,61,208,60.8
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2008,Weinfelden,4911,B�rglen (TG),1831,683,,,683,206,453,37.3
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2008,Weinfelden,4921,Bussnang,1425,695,,,660,173,478,48.8
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2003,Diessenhofen,4545,Diessenhofen,1855,819,,,803,203,596,44.2
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2001,Arbon,4406,Dozwil,343,188,,,182,46,135,54.8
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2001,Arbon,4411,Egnach,2679,1080,,,1038,283,740,40.3
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2002,Bischofszell,4476,Erlen,1882,689,,,658,162,485,36.6
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2005,Kreuzlingen,4646,Ermatingen,1671,707,,,687,186,491,42.3
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2007,Steckborn,4806,Eschenz,1008,449,,,441,118,322,44.5
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2006,M�nchwilen,4724,Eschlikon,2172,1047,,,1027,311,712,48.2
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2004,Frauenfeld,4561,Felben-Wellhausen,1348,556,,,544,123,416,41.2
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2006,M�nchwilen,4726,Fischingen,1797,915,,,894,236,650,50.9
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2004,Frauenfeld,4566,Frauenfeld,13558,5995,,,5871,1969,3797,44.2
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2004,Frauenfeld,4571,Gachnang,1991,840,,,821,219,596,42.2
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2005,Kreuzlingen,4651,Gottlieben,178,100,,,98,18,76,56.2
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2005,Kreuzlingen,4656,G�ttingen,863,380,,,372,94,275,44
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2002,Bischofszell,4486,Hauptwil-Gottshaus,1220,527,,,515,117,391,43.2
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2001,Arbon,4416,Hefenhofen,756,309,,,291,72,216,40.9
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2007,Steckborn,4811,Herdern,603,285,,,274,81,192,47.3
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2002,Bischofszell,4495,Hohentannen,387,169,,,162,29,133,43.7
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2007,Steckborn,4816,Homburg,1010,459,,,441,86,350,45.4
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2001,Arbon,4421,Horn,1562,697,,,689,193,480,44.6
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2004,Frauenfeld,4590,H�ttlingen,571,300,,,290,88,202,52.5
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2007,Steckborn,4821,H�ttwilen,955,477,,,451,117,327,49.9
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2005,Kreuzlingen,4666,Kemmental,1492,817,,,763,158,594,54.8
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2001,Arbon,4426,Kesswil,575,286,,,279,77,200,49.7
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2002,Bischofszell,4501,Kradolf-Sch�nenberg,1822,679,,,660,139,488,37.3
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2005,Kreuzlingen,4671,Kreuzlingen,8557,3398,,,3110,1051,2019,39.7
24.09.2000,10,2,Volksinitiative mit Gegenentwurf: Initiative,2005,Kreuzlingen,4681,Langrickenbach,710,321,,,314,67,242,45.2
